Cores,Number of Trials,Probability,MegaTrialsPerSecond
1,1,100,1.3
1,10,30,6.67
1,100,29,11.9
1,1000,28.1,13.36
1,10000,31.9,12.97
1,100000,31.6,12.73
1,500000,31.59,12.68
1,1000000,31.56,12.69
2,1,0,0.53
2,10,20,4.15
2,100,33,15.7
2,1000,33.2,25.13
2,10000,31.71,25.46
2,100000,31.49,24.48
2,500000,31.5,25.33
2,1000000,31.53,25.31
4,1,100,0.65
4,10,10,6.07
4,100,32,23.17
4,1000,31.7,20.13
4,10000,31.07,27.74
4,100000,31.41,27.68
4,500000,31.56,50.43
4,1000000,31.5,50.26
8,1,0,0.34
8,10,30,4.01
8,100,37,11.8
8,1000,30.9,33.18
8,10000,31.53,67.98
8,100000,31.55,78.12
8,500000,31.58,66.41
8,1000000,31.55,65.58
12,1,0,0.2
12,10,40,1.85
12,100,38,16.41
12,1000,31.3,67.94
12,10000,31.75,97.51
12,100000,31.76,53.49
12,500000,31.55,53.02
12,1000000,31.57,56.36
16,1,0,0.17
16,10,40,1.59
16,100,29,10.11
16,1000,29.9,47.13
16,10000,31.4,70.87
16,100000,31.68,68.55
16,500000,31.46,71.95
16,1000000,31.51,121.04
20,1,0,0.2
20,10,50,0
20,100,41,0.04
20,1000,30.2,65.5
20,10000,31.32,4.06
20,100000,31.51,52.83
20,500000,31.54,83.42
20,1000000,31.55,95.41
24,1,0,0
24,10,30,0
24,100,27,0.02
24,1000,31.2,0.29
24,10000,32.02,5.66
24,100000,31.69,34.05
24,500000,31.48,43.65
24,1000000,31.59,89.96
32,1,0,0.02
32,10,50,0.18
32,100,24,1.45
32,1000,31.2,11.4
32,10000,31.53,38.09
32,100000,31.42,84.39
32,500000,31.54,127.39
32,1000000,31.49,131.82
